CAGE,SPECIES,HEIGHT,MORPH,TIME,ADULT,NYMPH
30,TUB,NA,ALATE,168,0,0
30,INC,NA,ALATE,168,2,34
31,SYR,NA,ALATE,168,2,28
31,TUB,NA,ALATE,168,0,0
31,INC,NA,ALATE,168,1,34
32,SYR,NA,ALATE,168,1,21
32,TUB,NA,ALATE,168,0,0
32,INC,NA,ALATE,168,0,0
33,SYR,NA,ALATE,168,0,6
33,TUB,NA,ALATE,168,0,0
33,INC,NA,ALATE,168,1,17
34,SYR,NA,ALATE,168,3,56
34,TUB,NA,ALATE,168,0,0
34,INC,NA,ALATE,168,0,0
35,SYR,NA,ALATE,168,1,38
35,TUB,NA,ALATE,168,0,0
35,INC,NA,ALATE,168,1,20
36,SYR,NA,ALATE,168,1,21
36,TUB,NA,ALATE,168,0,0
36,INC,NA,ALATE,168,1,18
37,SYR,NA,ALATE,168,1,38
37,TUB,NA,ALATE,168,0,0
37,INC,NA,ALATE,168,0,0
38,SYR,NA,ALATE,168,1,15
38,TUB,NA,ALATE,168,0,0
38,INC,NA,ALATE,168,3,60
39,SYR,NA,ALATE,168,1,29
39,TUB,NA,ALATE,168,0,0
39,INC,NA,ALATE,168,1,11
40,SYR,NA,ALATE,168,2,75
40,TUB,NA,ALATE,168,0,0
40,INC,NA,ALATE,168,0,14
41,SYR,NA,ALATE,168,0,0
41,TUB,NA,ALATE,168,2,44
41,INC,NA,ALATE,168,1,18
42,SYR,NA,ALATE,168,1,16
42,TUB,NA,ALATE,168,0,0
42,INC,NA,ALATE,168,3,31
43,SYR,NA,ALATE,168,0,0
43,TUB,NA,ALATE,168,0,0
43,INC,NA,ALATE,168,2,40
44,SYR,NA,ALATE,168,0,0
44,TUB,NA,ALATE,168,0,8
44,INC,NA,ALATE,168,0,0
45,SYR,NA,ALATE,168,1,22
45,TUB,NA,ALATE,168,3,41
45,INC,NA,ALATE,168,0,0
46,SYR,NA,ALATE,168,0,0
46,TUB,NA,ALATE,168,0,0
46,INC,NA,ALATE,168,3,49
47,SYR,NA,ALATE,168,1,24
47,TUB,NA,ALATE,168,0,0
47,INC,NA,ALATE,168,1,15
48,SYR,NA,ALATE,168,1,29
48,TUB,NA,ALATE,168,0,0
48,INC,NA,ALATE,168,1,16
49,SYR,NA,ALATE,168,2,37
49,TUB,NA,ALATE,168,0,0
49,INC,NA,ALATE,168,1,18
50,SYR,NA,ALATE,168,2,36
50,TUB,NA,ALATE,168,0,0
50,INC,NA,ALATE,168,2,35
